source_query,source_pmid,retained_record_id,rule
PM-CORE-20260921-R1,344185,R-344185,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,345011,R-345011,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,345523,R-345523,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,346469,R-346469,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,347026,R-347026,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,348598,R-348598,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,348599,R-348599,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,349289,R-349289,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,349379,R-349379,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,350370,R-350370,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,352899,R-352899,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,352902,R-352902,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,352903,R-352903,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,353558,R-353558,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,354364,R-354364,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,355921,R-355921,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,356631,R-356631,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,358928,R-358928,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,359446,R-359446,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,359970,R-359970,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,359971,R-359971,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,362083,R-362083,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,364655,R-364655,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,365704,R-365704,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,367910,R-367910,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,367936,R-367936,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,367937,R-367937,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,368104,R-368104,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,369978,R-369978,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,369979,R-369979,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,369980,R-369980,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,370416,R-370416,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,370478,R-370478,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,371071,R-371071,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,371074,R-371074,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,371076,R-371076,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,371081,R-371081,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,372844,R-372844,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,373984,R-373984,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,374912,R-374912,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,374913,R-374913,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,376967,R-376967,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,377045,R-377045,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,379587,R-379587,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,379588,R-379588,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,381253,R-381253,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,381795,R-381795,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,384245,R-384245,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,384603,R-384603,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,385712,R-385712,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,386077,R-386077,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,386124,R-386124,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,386127,R-386127,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,386326,R-386326,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,387903,R-387903,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,388180,R-388180,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,388221,R-388221,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,390171,R-390171,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,391553,R-391553,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,393658,R-393658,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,393659,R-393659,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,400767,R-400767,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,402013,R-402013,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,403620,R-403620,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,403621,R-403621,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,405626,R-405626,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,405703,R-405703,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,406486,R-406486,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,407519,R-407519,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,407657,R-407657,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,408934,R-408934,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,413797,R-413797,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,415241,R-415241,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,415601,R-415601,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,415602,R-415602,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,415990,R-415990,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,415991,R-415991,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,417107,R-417107,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,417401,R-417401,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,418192,R-418192,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,418342,R-418342,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,428970,R-428970,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,497960,R-497960,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,518242,R-518242,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,630518,R-630518,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,635774,R-635774,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,670695,R-670695,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,765205,R-765205,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,765887,R-765887,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,766938,R-766938,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,767394,R-767394,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,768768,R-768768,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,773525,R-773525,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,775361,R-775361,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,775501,R-775501,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,776381,R-776381,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,776792,R-776792,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,780253,R-780253,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,780256,R-780256,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,781407,R-781407,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,781408,R-781408,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,781409,R-781409,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,782246,R-782246,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,785126,R-785126,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,786050,R-786050,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,786946,R-786946,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,789182,R-789182,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,789415,R-789415,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,790981,R-790981,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,791296,R-791296,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,791772,R-791772,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,792801,R-792801,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,794599,R-794599,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,795090,R-795090,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,798749,R-798749,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800726,R-800726,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800758,R-800758,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800759,R-800759,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800762,R-800762,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800764,R-800764,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800776,R-800776,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800778,R-800778,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800976,R-800976,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800978,R-800978,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800980,R-800980,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800982,R-800982,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,800983,R-800983,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,803229,R-803229,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,803289,R-803289,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,803291,R-803291,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,803292,R-803292,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,803640,R-803640,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,806893,R-806893,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,807051,R-807051,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,807506,R-807506,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,809628,R-809628,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,809786,R-809786,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,811745,R-811745,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,813145,R-813145,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,815154,R-815154,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,815155,R-815155,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,815551,R-815551,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,816845,R-816845,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,818474,R-818474,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,821080,R-821080,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,825922,R-825922,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,828153,R-828153,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,828636,R-828636,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,828638,R-828638,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,828773,R-828773,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,828775,R-828775,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,828778,R-828778,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,829316,R-829316,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,829326,R-829326,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,829419,R-829419,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,829422,R-829422,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,829555,R-829555,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,857098,R-857098,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,943150,R-943150,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1004038,R-1004038,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1088948,R-1088948,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1089365,R-1089365,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1089594,R-1089594,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1089619,R-1089619,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1089879,R-1089879,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1091715,R-1091715,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1092604,R-1092604,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1095466,R-1095466,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1095840,R-1095840,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1098298,R-1098298,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1098994,R-1098994,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1099837,R-1099837,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1099905,R-1099905,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1101550,R-1101550,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1102692,R-1102692,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1104464,R-1104464,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1104736,R-1104736,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1106027,R-1106027,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1106173,R-1106173,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1107207,R-1107207,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1107272,R-1107272,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1108289,R-1108289,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1108290,R-1108290,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1122451,R-1122451,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1127201,R-1127201,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1142854,R-1142854,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1168294,R-1168294,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1202996,R-1202996,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1237088,R-1237088,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1274962,R-1274962,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1286863,R-1286863,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1287041,R-1287041,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1287279,R-1287279,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1288673,R-1288673,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1290483,R-1290483,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1291833,R-1291833,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1291863,R-1291863,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1291864,R-1291864,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1292333,R-1292333,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1296792,R-1296792,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1299684,R-1299684,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1299689,R-1299689,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1299696,R-1299696,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1301888,R-1301888,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1304717,R-1304717,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1304731,R-1304731,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1306551,R-1306551,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1345213,R-1345213,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1348471,R-1348471,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1385906,R-1385906,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1386476,R-1386476,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1390963,R-1390963,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1391995,R-1391995,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1393974,R-1393974,Exact PMID match only; DOI/title/report-family deduplication pending
