record_id,pmid,in_core,in_supplement,metadata_exported,screening_status
R-415990,415990,True,False,True,Not human-screened
R-415991,415991,True,False,True,Not human-screened
R-417107,417107,True,False,True,Not human-screened
R-417401,417401,True,False,True,Not human-screened
R-418192,418192,True,False,True,Not human-screened
R-418342,418342,True,False,True,Not human-screened
R-428970,428970,True,False,True,Not human-screened
R-470473,470473,False,True,True,Not human-screened
R-481000,481000,False,True,True,Not human-screened
R-497960,497960,True,False,True,Not human-screened
R-508478,508478,False,True,True,Not human-screened
R-518242,518242,True,False,True,Not human-screened
R-520405,520405,False,True,True,Not human-screened
R-594861,594861,False,True,True,Not human-screened
R-630518,630518,True,False,True,Not human-screened
R-630922,630922,False,True,True,Not human-screened
R-635774,635774,True,False,True,Not human-screened
R-644536,644536,False,True,True,Not human-screened
R-651397,651397,False,True,True,Not human-screened
R-670695,670695,True,False,True,Not human-screened
R-711890,711890,False,True,True,Not human-screened
R-734711,734711,False,True,True,Not human-screened
R-738894,738894,False,True,True,Not human-screened
R-759540,759540,False,True,True,Not human-screened
R-759747,759747,False,True,True,Not human-screened
R-759749,759749,False,True,True,Not human-screened
R-765205,765205,True,False,True,Not human-screened
R-765887,765887,True,False,True,Not human-screened
R-766938,766938,True,False,True,Not human-screened
R-767394,767394,True,False,True,Not human-screened
R-768768,768768,True,False,True,Not human-screened
R-773525,773525,True,False,True,Not human-screened
R-775361,775361,True,False,True,Not human-screened
R-775501,775501,True,False,True,Not human-screened
R-776381,776381,True,False,True,Not human-screened
R-776792,776792,True,False,True,Not human-screened
R-780253,780253,True,False,True,Not human-screened
R-780256,780256,True,False,True,Not human-screened
R-781407,781407,True,False,True,Not human-screened
R-781408,781408,True,False,True,Not human-screened
R-781409,781409,True,False,True,Not human-screened
R-782246,782246,True,False,True,Not human-screened
R-785126,785126,True,False,True,Not human-screened
R-786050,786050,True,False,True,Not human-screened
R-786946,786946,True,False,True,Not human-screened
R-788197,788197,False,True,True,Not human-screened
R-789182,789182,True,False,True,Not human-screened
R-789415,789415,True,False,True,Not human-screened
R-790981,790981,True,False,True,Not human-screened
R-791296,791296,True,False,True,Not human-screened
R-791772,791772,True,False,True,Not human-screened
R-792801,792801,True,False,True,Not human-screened
R-794599,794599,True,False,True,Not human-screened
R-795090,795090,True,False,True,Not human-screened
R-798749,798749,True,False,True,Not human-screened
R-800726,800726,True,False,True,Not human-screened
R-800758,800758,True,False,True,Not human-screened
R-800759,800759,True,False,True,Not human-screened
R-800762,800762,True,False,True,Not human-screened
R-800764,800764,True,False,True,Not human-screened
R-800776,800776,True,False,True,Not human-screened
R-800778,800778,True,False,True,Not human-screened
R-800976,800976,True,False,True,Not human-screened
R-800978,800978,True,False,True,Not human-screened
R-800980,800980,True,False,True,Not human-screened
