RxCUI,TTY,RxNorm Description,Related BN,Related SCDC,Related DF
672571,SCD,24 HR PALIPERIDONE 9 MG EXTENDED RELEASE ORAL TABLET,,PALIPERIDONE 9 MG,EXTENDED RELEASE ORAL TABLET
686445,SBD,24 HR PALIPERIDONE 9 MG EXTENDED RELEASE ORAL TABLET [INVEGA],INVEGA,PALIPERIDONE 9 MG,EXTENDED RELEASE ORAL TABLET
858074,SBD,0.25 ML PALIPERIDONE PALMITATE 156 MG/ML PREFILLED SYRINGE [INVEGA],INVEGA,PALIPERIDONE PALMITATE 156 MG/ML,PREFILLED SYRINGE
2699354,SBD,0.5 ML PALIPERIDONE PALMITATE 156 MG/ML PREFILLED SYRINGE [ERZOFRI],ERZOFRI,PALIPERIDONE PALMITATE 156 MG/ML,PREFILLED SYRINGE
858055,SBD,1 ML PALIPERIDONE PALMITATE 156 MG/ML PREFILLED SYRINGE [INVEGA],INVEGA,PALIPERIDONE PALMITATE 156 MG/ML,PREFILLED SYRINGE
858053,SBD,1.5 ML PALIPERIDONE PALMITATE 156 MG/ML PREFILLED SYRINGE [INVEGA],INVEGA,PALIPERIDONE PALMITATE 156 MG/ML,PREFILLED SYRINGE
858051,SBD,0.5 ML PALIPERIDONE PALMITATE 156 MG/ML PREFILLED SYRINGE [INVEGA],INVEGA,PALIPERIDONE PALMITATE 156 MG/ML,PREFILLED SYRINGE
858057,SBD,0.75 ML PALIPERIDONE PALMITATE 156 MG/ML PREFILLED SYRINGE [INVEGA],INVEGA,PALIPERIDONE PALMITATE 156 MG/ML,PREFILLED SYRINGE
2699353,SBD,0.25 ML PALIPERIDONE PALMITATE 156 MG/ML PREFILLED SYRINGE [ERZOFRI],ERZOFRI,PALIPERIDONE PALMITATE 156 MG/ML,PREFILLED SYRINGE
2699352,SBD,1.5 ML PALIPERIDONE PALMITATE 156 MG/ML PREFILLED SYRINGE [ERZOFRI],ERZOFRI,PALIPERIDONE PALMITATE 156 MG/ML,PREFILLED SYRINGE
2699348,SBD,2.25 ML PALIPERIDONE PALMITATE 156 MG/ML PREFILLED SYRINGE [ERZOFRI],ERZOFRI,PALIPERIDONE PALMITATE 156 MG/ML,PREFILLED SYRINGE
2699350,SBD,0.75 ML PALIPERIDONE PALMITATE 156 MG/ML PREFILLED SYRINGE [ERZOFRI],ERZOFRI,PALIPERIDONE PALMITATE 156 MG/ML,PREFILLED SYRINGE
2699351,SBD,1 ML PALIPERIDONE PALMITATE 156 MG/ML PREFILLED SYRINGE [ERZOFRI],ERZOFRI,PALIPERIDONE PALMITATE 156 MG/ML,PREFILLED SYRINGE
