RxCUI,TTY,RxNorm Description,Related BN,Related SCDC,Related DF
213461,SBD,ABACAVIR 20 MG/ML ORAL SOLUTION [ZIAGEN],ZIAGEN,ABACAVIR 20 MG/ML,ORAL SOLUTION
242680,SCD,ABACAVIR 20 MG/ML ORAL SOLUTION,,ABACAVIR 20 MG/ML,ORAL SOLUTION
242679,SCD,ABACAVIR 300 MG ORAL TABLET,,ABACAVIR 300 MG,ORAL TABLET
2598352,SBD,ABACAVIR 60 MG / DOLUTEGRAVIR 5 MG / LAMIVUDINE 30 MG TABLET FOR ORAL SUSPENSION [TRIUMEQ],TRIUMEQ,ABACAVIR 60 MG / DOLUTEGRAVIR 5 MG / LAMIVUDINE 30 MG,TABLET FOR ORAL SUSPENSION
1546894,SBD,ABACAVIR 600 MG / DOLUTEGRAVIR 50 MG / LAMIVUDINE 300 MG ORAL TABLET [TRIUMEQ],TRIUMEQ,ABACAVIR 600 MG / DOLUTEGRAVIR 50 MG / LAMIVUDINE 300 MG,ORAL TABLET
602393,SCD,ABACAVIR 600 MG / LAMIVUDINE 300 MG ORAL TABLET,,ABACAVIR 600 MG / LAMIVUDINE 300 MG,ORAL TABLET
1921081,SBD,1.56 ML ABALOPARATIDE 2 MG/ML PEN INJECTOR [TYMLOS],TYMLOS,ABALOPARATIDE 2 MG/ML,PEN INJECTOR
1925255,SBD,0.4 ML ABATACEPT 125 MG/ML PREFILLED SYRINGE [ORENCIA],ORENCIA,ABATACEPT 125 MG/ML,PREFILLED SYRINGE
1145932,SBD,1 ML ABATACEPT 125 MG/ML PREFILLED SYRINGE [ORENCIA],ORENCIA,ABATACEPT 125 MG/ML,PREFILLED SYRINGE
1799230,SBD,1 ML ABATACEPT 125 MG/ML AUTO-INJECTOR [ORENCIA],ORENCIA,ABATACEPT 125 MG/ML,AUTO-INJECTOR
1925257,SBD,0.7 ML ABATACEPT 125 MG/ML PREFILLED SYRINGE [ORENCIA],ORENCIA,ABATACEPT 125 MG/ML,PREFILLED SYRINGE
1946840,SBD,ABEMACICLIB 100 MG ORAL TABLET [VERZENIO],VERZENIO,ABEMACICLIB 100 MG,ORAL TABLET
1946844,SBD,ABEMACICLIB 150 MG ORAL TABLET [VERZENIO],VERZENIO,ABEMACICLIB 150 MG,ORAL TABLET
1946848,SBD,ABEMACICLIB 200 MG ORAL TABLET [VERZENIO],VERZENIO,ABEMACICLIB 200 MG,ORAL TABLET
1946836,SBD,ABEMACICLIB 50 MG ORAL TABLET [VERZENIO],VERZENIO,ABEMACICLIB 50 MG,ORAL TABLET
2046585,SBD,ABIRATERONE ACETATE 125 MG ORAL TABLET [YONSA],YONSA,ABIRATERONE ACETATE 125 MG,ORAL TABLET
2702601,SBD,ABIRATERONE ACETATE 250 MG ORAL TABLET [ABIRTEGA],ABIRTEGA,ABIRATERONE ACETATE 250 MG,ORAL TABLET
1100079,SBD,ABIRATERONE ACETATE 250 MG ORAL TABLET [ZYTIGA],ZYTIGA,ABIRATERONE ACETATE 250 MG,ORAL TABLET
1100075,SCD,ABIRATERONE ACETATE 250 MG ORAL TABLET,,ABIRATERONE ACETATE 250 MG,ORAL TABLET
1918044,SBD,ABIRATERONE ACETATE 500 MG ORAL TABLET [ZYTIGA],ZYTIGA,ABIRATERONE ACETATE 500 MG,ORAL TABLET
1918042,SCD,ABIRATERONE ACETATE 500 MG ORAL TABLET,,ABIRATERONE ACETATE 500 MG,ORAL TABLET
2645253,SBD,ABIRATERONE ACETATE 500 MG / NIRAPARIB 100 MG ORAL TABLET [AKEEGA],AKEEGA,ABIRATERONE ACETATE 500 MG / NIRAPARIB 100 MG,ORAL TABLET
2645250,SBD,ABIRATERONE ACETATE 500 MG / NIRAPARIB 50 MG ORAL TABLET [AKEEGA],AKEEGA,ABIRATERONE ACETATE 500 MG / NIRAPARIB 50 MG,ORAL TABLET
2591487,SBD,ABROCITINIB 100 MG ORAL TABLET [CIBINQO],CIBINQO,ABROCITINIB 100 MG,ORAL TABLET
2591491,SBD,ABROCITINIB 200 MG ORAL TABLET [CIBINQO],CIBINQO,ABROCITINIB 200 MG,ORAL TABLET
2591495,SBD,ABROCITINIB 50 MG ORAL TABLET [CIBINQO],CIBINQO,ABROCITINIB 50 MG,ORAL TABLET
2607737,SBD,ACALABRUTINIB 100 MG ORAL TABLET [CALQUENCE],CALQUENCE,ACALABRUTINIB 100 MG,ORAL TABLET
835726,SCD,ACAMPROSATE CALCIUM 333 MG DELAYED RELEASE ORAL TABLET,,ACAMPROSATE CALCIUM 333 MG,DELAYED RELEASE ORAL TABLET
199150,SCD,ACARBOSE 100 MG ORAL TABLET,,ACARBOSE 100 MG,ORAL TABLET
200132,SCD,ACARBOSE 25 MG ORAL TABLET,,ACARBOSE 25 MG,ORAL TABLET
199149,SCD,ACARBOSE 50 MG ORAL TABLET,,ACARBOSE 50 MG,ORAL TABLET
998689,SCD,ACEBUTOLOL 200 MG ORAL CAPSULE,,ACEBUTOLOL 200 MG,ORAL CAPSULE
998685,SCD,ACEBUTOLOL 400 MG ORAL CAPSULE,,ACEBUTOLOL 400 MG,ORAL CAPSULE
829989,SBD,"0.5 ML ACELLULAR PERTUSSIS VACCINE, INACTIVATED 0.116 MG/ML / DIPHTHERIA TOXOID VACCINE, INACTIVATED 50 UNT/ML / HEPATITIS B SURFACE ANTIGEN VACCINE 0.02 MG/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 1 (MAHONEY) 80 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 2 (MEF-1) 16 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 3 (SAUKETT) 64 UNT/ML / TETANUS TOXOID VACCINE, INACTIVATED 20 UNT/ML PREFILLED SYRINGE [PEDIARIX]",PEDIARIX,"ACELLULAR PERTUSSIS VACCINE, INACTIVATED 0.116 MG/ML / DIPHTHERIA TOXOID VACCINE, INACTIVATED 50 UNT/ML / HEPATITIS B SURFACE ANTIGEN VACCINE 0.02 MG/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 1 (MAHONEY) 80 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TY",PREFILLED SYRINGE
830557,SBD,"0.5 ML ACELLULAR PERTUSSIS VACCINE, INACTIVATED 0.116 MG/ML / DIPHTHERIA TOXOID VACCINE, INACTIVATED 50 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 1 (MAHONEY) 80 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 2 (MEF-1) 16 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 3 (SAUKETT) 64 UNT/ML / TETANUS TOXOID VACCINE, INACTIVATED 20 UNT/ML PREFILLED SYRINGE [KINRIX]",KINRIX,"ACELLULAR PERTUSSIS VACCINE, INACTIVATED 0.116 MG/ML / DIPHTHERIA TOXOID VACCINE, INACTIVATED 50 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 1 (MAHONEY) 80 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 2 (MEF-1) 16 UNT/ML / POLIOVIRUS VACCINE INACT",PREFILLED SYRINGE
2585717,SBD,"0.5 ML ACELLULAR PERTUSSIS VACCINE, INACTIVATED 96 UNT/ML / DIPHTHERIA TOXOID VACCINE, INACTIVATED 30 UNT/ML / HAEMOPHILUS INFLUENZAE TYPE B, CAPSULAR POLYSACCHARIDE INACTIVATED TETANUS TOXOID CONJUGATE VACCINE 68 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 1 (MAHONEY) 58 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 2 (MEF-1) 14 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TYPE 3 (SAUKETT) 52 UNT/ML / TETANUS TOXOID VACCINE, INACTIVATED 20 UNT/ML INJECTION [PENTACEL]",PENTACEL,"ACELLULAR PERTUSSIS VACCINE, INACTIVATED 96 UNT/ML / DIPHTHERIA TOXOID VACCINE, INACTIVATED 30 UNT/ML / HAEMOPHILUS INFLUENZAE TYPE B, CAPSULAR POLYSACCHARIDE INACTIVATED TETANUS TOXOID CONJUGATE VACCINE 68 UNT/ML / POLIOVIRUS VACCINE INACTIVATED, TY",INJECTION
1044427,SCD,ACETAMINOPHEN 20 MG/ML / HYDROCODONE BITARTRATE 0.667 MG/ML ORAL SOLUTION,,ACETAMINOPHEN 20 MG/ML / HYDROCODONE BITARTRATE 0.667 MG/ML,ORAL SOLUTION
856940,SCD,ACETAMINOPHEN 21.7 MG/ML / HYDROCODONE BITARTRATE 0.5 MG/ML ORAL SOLUTION,,ACETAMINOPHEN 21.7 MG/ML / HYDROCODONE BITARTRATE 0.5 MG/ML,ORAL SOLUTION
993755,SCD,ACETAMINOPHEN 24 MG/ML / CODEINE PHOSPHATE 2.4 MG/ML ORAL SOLUTION,,ACETAMINOPHEN 24 MG/ML / CODEINE PHOSPHATE 2.4 MG/ML,ORAL SOLUTION
1249617,SCD,ACETAMINOPHEN 300 MG / BUTALBITAL 50 MG ORAL TABLET,,ACETAMINOPHEN 300 MG / BUTALBITAL 50 MG,ORAL TABLET
1995136,SCD,ACETAMINOPHEN 300 MG / BUTALBITAL 50 MG ORAL CAPSULE,,ACETAMINOPHEN 300 MG / BUTALBITAL 50 MG,ORAL CAPSULE
889520,SCD,ACETAMINOPHEN 300 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG ORAL CAPSULE,,ACETAMINOPHEN 300 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG,ORAL CAPSULE
1432261,SBD,ACETAMINOPHEN 300 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG ORAL CAPSULE [FIORICET],FIORICET,ACETAMINOPHEN 300 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG,ORAL CAPSULE
1431286,SCD,ACETAMINOPHEN 300 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG / CODEINE PHOSPHATE 30 MG ORAL CAPSULE,,ACETAMINOPHEN 300 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG / CODEINE PHOSPHATE 30 MG,ORAL CAPSULE
993770,SCD,ACETAMINOPHEN 300 MG / CODEINE PHOSPHATE 15 MG ORAL TABLET,,ACETAMINOPHEN 300 MG / CODEINE PHOSPHATE 15 MG,ORAL TABLET
993781,SCD,ACETAMINOPHEN 300 MG / CODEINE PHOSPHATE 30 MG ORAL TABLET,,ACETAMINOPHEN 300 MG / CODEINE PHOSPHATE 30 MG,ORAL TABLET
993890,SCD,ACETAMINOPHEN 300 MG / CODEINE PHOSPHATE 60 MG ORAL TABLET,,ACETAMINOPHEN 300 MG / CODEINE PHOSPHATE 60 MG,ORAL TABLET
856980,SCD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 10 MG ORAL TABLET,,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 10 MG,ORAL TABLET
856987,SCD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 5 MG ORAL TABLET,,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 5 MG,ORAL TABLET
856992,SCD,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 7.5 MG ORAL TABLET,,ACETAMINOPHEN 300 MG / HYDROCODONE BITARTRATE 7.5 MG,ORAL TABLET
2279510,SBD,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 10 MG ORAL TABLET [PROLATE],PROLATE,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 10 MG,ORAL TABLET
1014599,SCD,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 10 MG ORAL TABLET,,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 10 MG,ORAL TABLET
2045500,SBD,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 2.5 MG ORAL TABLET [NALOCET],NALOCET,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 2.5 MG,ORAL TABLET
1014615,SCD,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 5 MG ORAL TABLET,,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 5 MG,ORAL TABLET
2279512,SBD,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 5 MG ORAL TABLET [PROLATE],PROLATE,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 5 MG,ORAL TABLET
1014632,SCD,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 7.5 MG ORAL TABLET,,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 7.5 MG,ORAL TABLET
2279514,SBD,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 7.5 MG ORAL TABLET [PROLATE],PROLATE,ACETAMINOPHEN 300 MG / OXYCODONE HYDROCHLORIDE 7.5 MG,ORAL TABLET
2279007,SBD,ACETAMINOPHEN 325 MG / BUTALBITAL 25 MG ORAL TABLET [ALLZITAL],ALLZITAL,ACETAMINOPHEN 325 MG / BUTALBITAL 25 MG,ORAL TABLET
1483329,SBD,ACETAMINOPHEN 325 MG / BUTALBITAL 50 MG ORAL TABLET [TENCON],TENCON,ACETAMINOPHEN 325 MG / BUTALBITAL 50 MG,ORAL TABLET
197426,SCD,ACETAMINOPHEN 325 MG / BUTALBITAL 50 MG ORAL TABLET,,ACETAMINOPHEN 325 MG / BUTALBITAL 50 MG,ORAL TABLET
238154,SCD,ACETAMINOPHEN 325 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG ORAL TABLET,,ACETAMINOPHEN 325 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG,ORAL TABLET
238153,SCD,ACETAMINOPHEN 325 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG ORAL CAPSULE,,ACETAMINOPHEN 325 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG,ORAL CAPSULE
993943,SCD,ACETAMINOPHEN 325 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG / CODEINE PHOSPHATE 30 MG ORAL CAPSULE,,ACETAMINOPHEN 325 MG / BUTALBITAL 50 MG / CAFFEINE 40 MG / CODEINE PHOSPHATE 30 MG,ORAL CAPSULE
856999,SCD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 10 MG ORAL TABLET,,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 10 MG,ORAL TABLET
857391,SCD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 2.5 MG ORAL TABLET,,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 2.5 MG,ORAL TABLET
857002,SCD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 5 MG ORAL TABLET,,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 5 MG,ORAL TABLET
857005,SCD,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 7.5 MG ORAL TABLET,,ACETAMINOPHEN 325 MG / HYDROCODONE BITARTRATE 7.5 MG,ORAL TABLET
1049625,SBD,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 10 MG ORAL TABLET [PERCOCET],PERCOCET,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 10 MG,ORAL TABLET
1049214,SCD,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 10 MG ORAL TABLET,,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 10 MG,ORAL TABLET
1049635,SCD,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 2.5 MG ORAL TABLET,,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 2.5 MG,ORAL TABLET
1049221,SCD,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 5 MG ORAL TABLET,,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 5 MG,ORAL TABLET
1049640,SBD,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 5 MG ORAL TABLET [PERCOCET],PERCOCET,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 5 MG,ORAL TABLET
1049225,SCD,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 7.5 MG ORAL TABLET,,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 7.5 MG,ORAL TABLET
1049642,SBD,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 7.5 MG ORAL TABLET [PERCOCET],PERCOCET,ACETAMINOPHEN 325 MG / OXYCODONE HYDROCHLORIDE 7.5 MG,ORAL TABLET
836395,SCD,ACETAMINOPHEN 325 MG / TRAMADOL HYDROCHLORIDE 37.5 MG ORAL TABLET,,ACETAMINOPHEN 325 MG / TRAMADOL HYDROCHLORIDE 37.5 MG,ORAL TABLET
2281851,SBD,ACETAMINOPHEN 60 MG/ML / OXYCODONE HYDROCHLORIDE 2 MG/ML ORAL SOLUTION [PROLATE],PROLATE,ACETAMINOPHEN 60 MG/ML / OXYCODONE HYDROCHLORIDE 2 MG/ML,ORAL SOLUTION
197303,SCD,ACETAZOLAMIDE 125 MG ORAL TABLET,,ACETAZOLAMIDE 125 MG,ORAL TABLET
197304,SCD,ACETAZOLAMIDE 250 MG ORAL TABLET,,ACETAZOLAMIDE 250 MG,ORAL TABLET
562524,SCD,12 HR ACETAZOLAMIDE 500 MG EXTENDED RELEASE ORAL CAPSULE,,ACETAZOLAMIDE 500 MG,EXTENDED RELEASE ORAL CAPSULE
197305,SCD,ACETIC ACID 20 MG/ML OTIC SOLUTION,,ACETIC ACID 20 MG/ML,OTIC SOLUTION
313786,SCD,ACETIC ACID 20 MG/ML / HYDROCORTISONE 10 MG/ML OTIC SOLUTION,,ACETIC ACID 20 MG/ML / HYDROCORTISONE 10 MG/ML,OTIC SOLUTION
213557,SBD,ACETOHYDROXAMIC ACID 250 MG ORAL TABLET [LITHOSTAT],LITHOSTAT,ACETOHYDROXAMIC ACID 250 MG,ORAL TABLET
307718,SCD,ACETYLCYSTEINE 100 MG/ML INHALATION SOLUTION,,ACETYLCYSTEINE 100 MG/ML,INHALATION SOLUTION
307719,SCD,ACETYLCYSTEINE 200 MG/ML INHALATION SOLUTION,,ACETYLCYSTEINE 200 MG/ML,INHALATION SOLUTION
199689,SCD,ACITRETIN 10 MG ORAL CAPSULE,,ACITRETIN 10 MG,ORAL CAPSULE
894859,SCD,ACITRETIN 17.5 MG ORAL CAPSULE,,ACITRETIN 17.5 MG,ORAL CAPSULE
199690,SCD,ACITRETIN 25 MG ORAL CAPSULE,,ACITRETIN 25 MG,ORAL CAPSULE
1607112,SBD,30 ACTUAT ACLIDINIUM BROMIDE 0.4 MG/ACTUAT DRY POWDER INHALER [TUDORZA],TUDORZA,ACLIDINIUM BROMIDE 0.4 MG/ACTUAT,DRY POWDER INHALER
1303107,SBD,60 ACTUAT ACLIDINIUM BROMIDE 0.4 MG/ACTUAT DRY POWDER INHALER [TUDORZA],TUDORZA,ACLIDINIUM BROMIDE 0.4 MG/ACTUAT,DRY POWDER INHALER
2205099,SBD,60 ACTUAT ACLIDINIUM BROMIDE 0.4 MG/ACTUAT / FORMOTEROL FUMARATE 0.012 MG/ACTUAT DRY POWDER INHALER [DUAKLIR],DUAKLIR,ACLIDINIUM BROMIDE 0.4 MG/ACTUAT / FORMOTEROL FUMARATE 0.012 MG/ACTUAT,DRY POWDER INHALER
2716826,SBD,ACOLTREMON 0.03 MG/ML OPHTHALMIC SOLUTION [TRYPTYR],TRYPTYR,ACOLTREMON 0.03 MG/ML,OPHTHALMIC SOLUTION
2698324,SBD,ACORAMIDIS 356 MG ORAL TABLET [ATTRUBY],ATTRUBY,ACORAMIDIS 356 MG,ORAL TABLET
197312,SCD,ACYCLOVIR 0.05 MG/MG TOPICAL OINTMENT,,ACYCLOVIR 0.05 MG/MG,TOPICAL OINTMENT
209977,SBD,ACYCLOVIR 0.05 MG/MG TOPICAL OINTMENT [ZOVIRAX],ZOVIRAX,ACYCLOVIR 0.05 MG/MG,TOPICAL OINTMENT
197310,SCD,ACYCLOVIR 200 MG ORAL CAPSULE,,ACYCLOVIR 200 MG,ORAL CAPSULE
307730,SCD,ACYCLOVIR 40 MG/ML ORAL SUSPENSION,,ACYCLOVIR 40 MG/ML,ORAL SUSPENSION
197311,SCD,ACYCLOVIR 400 MG ORAL TABLET,,ACYCLOVIR 400 MG,ORAL TABLET
825321,SBD,ACYCLOVIR 50 MG/ML TOPICAL CREAM [ZOVIRAX],ZOVIRAX,ACYCLOVIR 50 MG/ML,TOPICAL CREAM
1734932,SCD,10 ML ACYCLOVIR 50 MG/ML INJECTION,,ACYCLOVIR 50 MG/ML,INJECTION
141859,SCD,ACYCLOVIR 50 MG/ML TOPICAL CREAM,,ACYCLOVIR 50 MG/ML,TOPICAL CREAM
998426,SBD,ACYCLOVIR 50 MG/ML / HYDROCORTISONE 10 MG/ML TOPICAL CREAM [XERESE],XERESE,ACYCLOVIR 50 MG/ML / HYDROCORTISONE 10 MG/ML,TOPICAL CREAM
197313,SCD,ACYCLOVIR 800 MG ORAL TABLET,,ACYCLOVIR 800 MG,ORAL TABLET
2625923,SBD,ADAGRASIB 200 MG ORAL TABLET [KRAZATI],KRAZATI,ADAGRASIB 200 MG,ORAL TABLET
1872980,SBD,0.4 ML ADALIMUMAB 100 MG/ML AUTO-INJECTOR [HUMIRA],HUMIRA,ADALIMUMAB 100 MG/ML,AUTO-INJECTOR
1921010,SBD,0.1 ML ADALIMUMAB 100 MG/ML PREFILLED SYRINGE [HUMIRA],HUMIRA,ADALIMUMAB 100 MG/ML,PREFILLED SYRINGE
1921017,SBD,0.2 ML ADALIMUMAB 100 MG/ML PREFILLED SYRINGE [HUMIRA],HUMIRA,ADALIMUMAB 100 MG/ML,PREFILLED SYRINGE
1921240,SBD,0.8 ML ADALIMUMAB 100 MG/ML AUTO-INJECTOR [HUMIRA],HUMIRA,ADALIMUMAB 100 MG/ML,AUTO-INJECTOR
1726846,SBD,0.4 ML ADALIMUMAB 100 MG/ML PREFILLED SYRINGE [HUMIRA],HUMIRA,ADALIMUMAB 100 MG/ML,PREFILLED SYRINGE
1921245,BPCK,"{3 (0.8 ML ADALIMUMAB 100 MG/ML AUTO-INJECTOR [HUMIRA]) } PACK [HUMIRA PEN 80 MG/0.8 ML - STARTER PACKAGE FOR CROHN'S DISEASE, ULCERATIVE COLITIS OR HIDRADENITIS SUPPURATIVA]","HUMIRA PEN 80 MG/0.8 ML - STARTER PACKAGE FOR CROHN'S DISEASE, ULCERATIVE COLITIS OR HIDRADENITIS SUPPURATIVA",ADALIMUMAB 100 MG/ML,PACK
1921468,BPCK,{2 (0.4 ML ADALIMUMAB 100 MG/ML AUTO-INJECTOR [HUMIRA]) / 1 (0.8 ML ADALIMUMAB 100 MG/ML AUTO-INJECTOR [HUMIRA]) } PACK [HUMIRA PEN 80 MG/0.8 ML AND 40 MG/0.4 ML - PSORIASIS/UVEITIS STARTER PACKAGE],HUMIRA PEN 80 MG/0.8 ML AND 40 MG/0.4 ML - PSORIASIS/UVEITIS STARTER PACKAGE,ADALIMUMAB 100 MG/ML,PACK
727705,SBD,0.8 ML ADALIMUMAB 50 MG/ML PREFILLED SYRINGE [HUMIRA],HUMIRA,ADALIMUMAB 50 MG/ML,PREFILLED SYRINGE
1655728,SBD,0.8 ML ADALIMUMAB 50 MG/ML AUTO-INJECTOR [HUMIRA],HUMIRA,ADALIMUMAB 50 MG/ML,AUTO-INJECTOR
2640869,GPCK,{6 (0.8 ML ADALIMUMAB-AACF 50 MG/ML AUTO-INJECTOR) } PACK,,ADALIMUMAB-AACF 50 MG/ML,PACK
2640864,GPCK,{4 (0.8 ML ADALIMUMAB-AACF 50 MG/ML AUTO-INJECTOR) } PACK,,ADALIMUMAB-AACF 50 MG/ML,PACK
2640859,SCD,0.8 ML ADALIMUMAB-AACF 50 MG/ML AUTO-INJECTOR,,ADALIMUMAB-AACF 50 MG/ML,AUTO-INJECTOR
2640851,SCD,0.8 ML ADALIMUMAB-AACF 50 MG/ML PREFILLED SYRINGE,,ADALIMUMAB-AACF 50 MG/ML,PREFILLED SYRINGE
2639662,SBD,0.4 ML ADALIMUMAB-AATY 100 MG/ML PREFILLED SYRINGE [YUFLYMA],YUFLYMA,ADALIMUMAB-AATY 100 MG/ML,PREFILLED SYRINGE
2639659,SCD,0.4 ML ADALIMUMAB-AATY 100 MG/ML PREFILLED SYRINGE,,ADALIMUMAB-AATY 100 MG/ML,PREFILLED SYRINGE
2639657,SBD,0.4 ML ADALIMUMAB-AATY 100 MG/ML AUTO-INJECTOR [YUFLYMA],YUFLYMA,ADALIMUMAB-AATY 100 MG/ML,AUTO-INJECTOR
2639651,SCD,0.4 ML ADALIMUMAB-AATY 100 MG/ML AUTO-INJECTOR,,ADALIMUMAB-AATY 100 MG/ML,AUTO-INJECTOR
2668490,BPCK,"{3 (0.8 ML ADALIMUMAB-AATY 100 MG/ML AUTO-INJECTOR [YUFLYMA]) } PACK [YUFLYMA AUTO-INJECTOR 80 MG/0.8 ML STARTER PACKAGE FOR CROHN'S DISEASE, ULCERATIVE COLITIS OR HIDRADENITIS SUPPURATIVA]","YUFLYMA AUTO-INJECTOR 80 MG/0.8 ML STARTER PACKAGE FOR CROHN'S DISEASE, ULCERATIVE COLITIS OR HIDRADENITIS SUPPURATIVA",ADALIMUMAB-AATY 100 MG/ML,PACK
2668489,GPCK,{3 (0.8 ML ADALIMUMAB-AATY 100 MG/ML AUTO-INJECTOR) } PACK,,ADALIMUMAB-AATY 100 MG/ML,PACK
2668488,SBD,0.8 ML ADALIMUMAB-AATY 100 MG/ML AUTO-INJECTOR [YUFLYMA],YUFLYMA,ADALIMUMAB-AATY 100 MG/ML,AUTO-INJECTOR
2668487,SCD,0.8 ML ADALIMUMAB-AATY 100 MG/ML AUTO-INJECTOR,,ADALIMUMAB-AATY 100 MG/ML,AUTO-INJECTOR
2668483,SCD,0.2 ML ADALIMUMAB-AATY 100 MG/ML PREFILLED SYRINGE,,ADALIMUMAB-AATY 100 MG/ML,PREFILLED SYRINGE
2641644,SCD,0.1 ML ADALIMUMAB-ADAZ 100 MG/ML PREFILLED SYRINGE,,ADALIMUMAB-ADAZ 100 MG/ML,PREFILLED SYRINGE
2641671,BPCK,{2 (0.4 ML ADALIMUMAB-ADAZ 100 MG/ML AUTO-INJECTOR [HYRIMOZ]) / 1 (0.8 ML ADALIMUMAB-ADAZ 100 MG/ML AUTO-INJECTOR [HYRIMOZ]) } PACK [HYRIMOZ PLAQUE PSORIASIS STARTER KIT],HYRIMOZ PLAQUE PSORIASIS STARTER KIT,ADALIMUMAB-ADAZ 100 MG/ML,PACK
2641665,BPCK,{3 (0.8 ML ADALIMUMAB-ADAZ 100 MG/ML AUTO-INJECTOR [HYRIMOZ]) } PACK [HYRIMOZ CROHN'S AND UC STARTER KIT],HYRIMOZ CROHN'S AND UC STARTER KIT,ADALIMUMAB-ADAZ 100 MG/ML,PACK
2641650,SBD,0.1 ML ADALIMUMAB-ADAZ 100 MG/ML PREFILLED SYRINGE [HYRIMOZ],HYRIMOZ,ADALIMUMAB-ADAZ 100 MG/ML,PREFILLED SYRINGE
2641653,SCD,0.2 ML ADALIMUMAB-ADAZ 100 MG/ML PREFILLED SYRINGE,,ADALIMUMAB-ADAZ 100 MG/ML,PREFILLED SYRINGE
2641663,SBD,0.8 ML ADALIMUMAB-ADAZ 100 MG/ML AUTO-INJECTOR [HYRIMOZ],HYRIMOZ,ADALIMUMAB-ADAZ 100 MG/ML,AUTO-INJECTOR
