Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spnd_Per_Dsg_Unt_Wghtd_2023,Avg_Spnd_Per_Clm_2023,Avg_Spnd_Per_Bene_2023,Outlier_Flag_2023,Tot_Spndng_2024,Tot_Dsg_Unts_2024,Tot_Clms_2024,Tot_Benes_2024,Avg_Spnd_Per_Dsg_Unt_Wghtd_2024,Avg_Spnd_Per_Clm_2024,Avg_Spnd_Per_Bene_2024,Outlier_Flag_2024,Chg_Avg_Spnd_Per_Dsg_Unt_23_24,CAGR_Avg_Spnd_Per_Dsg_Unt_20_24
Polycin,Bacitracin/Polymyxin B Sulfate,1,Perrigo/Padagis,6455.18,1396.5,388,323,4.6223988543,16.637061856,19.985077399,0,1298.85,318.5,88,62,4.078021978,14.759659091,20.949193548,0,910.89,241.5,60,43,3.7718012422,15.1815,21.183488372,0,1404.82,364,59,42,3.8593956044,23.810508475,33.448095238,0,522.64,126,36,26,4.1479365079,14.517777778,20.101538462,0,0.0747632358,-0.026712444
Polymyxin B Sul-Trimethoprim,Polymyxin B Sulf/Trimethoprim,5,Overall,3073949.45,3405653,338286,287651,0.9026670284,9.0868361386,10.686385411,0,3071337.26,3345171,331947,281601,0.9181665986,9.252492898,10.906698698,0,3433300.67,3790176.601,376061,323165,0.9058096644,9.1296376652,10.623986725,0,3745764.26,3826659.39,379203,334644,0.9788385256,9.8779921572,11.1932808,0,3511667.33,4213293.272,417816,367179,0.8334960074,8.4048177427,9.5639111442,0,-0.148484673,-0.019733895
Polymyxin B Sul-Trimethoprim,Polymyxin B Sulf/Trimethoprim,1,Somerset Therap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16925.59,24936,2467,2395,0.6787612287,6.8607985407,7.0670521921,0,,
Polymyxin B Sul-Trimethoprim,Polymyxin B Sulf/Trimethoprim,1,Sandoz,1961502.72,2040905.8,202920,174934,0.9610941965,9.6663843879,11.212815805,0,2042785.67,2095415,208056,179273,0.9748835768,9.8184415254,11.394831737,0,1994762.43,2055101.601,203814,181730,0.9706393246,9.7871708028,10.976516976,0,2498575.4,2441257,241840,217874,1.023479052,10.331522494,11.46798333,0,2588569.21,3033858.272,300993,268681,0.8532268082,8.6000977099,9.6343589982,0,-0.166346584,-0.029323234
Polymyxin B Sul-Trimethoprim,Polymyxin B Sulf/Trimethoprim,1,Pacific/Greenst,627819.95,733139.2,72651,61386,0.8563448115,8.6415871771,10.227412602,0,573813.19,648419,64207,53101,0.8849419742,8.9369257246,10.80607126,0,682259.61,784137,77854,68784,0.8700770529,8.7633212166,9.918870813,0,46543.75,46955,4668,4194,0.9912416143,9.9708119109,11.097699094,0,6587.15,6940,684,599,0.9491570605,9.6303362573,10.996911519,0,-0.042456403,0.0260590446
Polymyxin B Sul-Trimethoprim,Polymyxin B Sulf/Trimethoprim,1,Bausch & Lomb I,469225.24,613413,60915,54219,0.7649417929,7.702950669,8.6542584703,0,446969.7,592557,58820,52201,0.7543066743,7.5989408364,8.562473899,0,748668.12,942358,93538,85171,0.7944625291,8.0038927495,8.7901764685,0,1196132.31,1333507.39,132201,120667,0.8969821382,9.04783103,9.9126713186,0,898120.43,1145809,113497,101866,0.7838308392,7.9131644889,8.8166849587,0,-0.126146658,0.0061170048
Polymyxin B Sul-Trimethoprim,Polymyxin B Sulf/Trimethoprim,1,Akorn Inc.,15401.54,18195,1800,1560,0.8464710085,8.5564111111,9.8727820513,0,7768.7,8780,864,729,0.8848177677,8.9915509259,10.656652949,0,7610.51,8580,855,719,0.8870058275,8.9011812865,10.584853964,0,4512.8,4940,494,419,0.9135222672,9.1352226721,10.770405728,0,1464.95,1750,175,146,0.8371142857,8.3711428571,10.03390411,0,-0.083641072,-0.00277498
Polymyxin B Sulfate,Polymyxin B Sulfate,2,Overall,62156.59,139890,623,496,0.4380182977,99.769807384,125.31570565,0,55287.58,175713.5,803,397,0.3135251516,68.85128269,139.26342569,1,38976.88,99460,388,197,0.4267368837,100.45587629,197.85218274,0,41592.51,29125,274,91,1.9534414018,151.79748175,457.06054945,0,22312.31,64517.5,215,70,0.3527032615,103.77818605,318.74728571,0,-0.81944518,-0.052717955
Polymyxin B Sulfate,Polymyxin B Sulfate,1,Xellia Pharmace,53622.72,114214,480,147,0.4694934071,111.714,364.78040816,0,37073.96,116478.9,449,118,0.3182890635,82.570066815,314.18610169,0,16855.87,60607,190,56,0.2781175442,88.715105263,300.99767857,0,28842.16,11879,197,53,2.4279956225,146.40690355,544.19169811,0,11802.38,41777.5,131,47,0.282505655,90.094503817,251.11446809,0,-0.883646555,-0.119256571
Polymyxin B Sulfate,Polymyxin B Sulfate,1,Eugia US LLC,8533.87,25676,143,63,0.3323675806,59.677412587,135.45825397,0,18213.62,59234.6,354,158,0.3074827888,51.450903955,115.27607595,0,22121.01,38853,198,87,0.5693514014,111.72227273,254.26448276,0,12750.35,17246,77,34,0.7393221617,165.58896104,375.01029412,0,10509.93,22740,84,28,0.4621781003,125.11821429,375.35464286,0,-0.374862375,0.0859196124
